,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Match_ID,Bowler,Player_ID
2222,5,0,58,1,11.6,58,30,v Australia,Melbourne (Docklands),20-Jan-06,ODI # 2316,Dale Steyn,47492
2223,3,0,32,0,10.66,-,-,v Sri Lanka,Hobart,07-Feb-06,ODI # 2325,Dale Steyn,47492
2224,7,0,30,2,4.28,15,21,v Ireland,Belfast,24-Jun-07,ODI # 2591,Dale Steyn,47492
2225,6,0,35,1,5.83,35,36,v India,Belfast,01-Jul-07,ODI # 2595,Dale Steyn,47492
2226,10,1,65,3,6.5,21.66,20,v Zimbabwe,Harare,25-Aug-07,ODI # 2614,Dale Steyn,47492
2227,9,0,50,2,5.55,25,27,v New Zealand,Cape Town,02-Dec-07,ODI # 2652,Dale Steyn,47492
2228,7.5,0,24,2,3.06,12,23.5,v West Indies,Centurion,20-Jan-08,ODI # 2661,Dale Steyn,47492
2229,10,0,35,1,3.5,35,60,v West Indies,Cape Town,25-Jan-08,ODI # 2664,Dale Steyn,47492
2230,10,0,62,0,6.2,-,-,v West Indies,Port Elizabeth,27-Jan-08,ODI # 2666,Dale Steyn,47492
2231,10,0,78,1,7.8,78,60,v West Indies,Johannesburg,03-Feb-08,ODI # 2671,Dale Steyn,47492
2232,8,4,19,0,2.37,-,-,v Bangladesh,Dhaka,14-Mar-08,ODI # 2692,Dale Steyn,47492
2233,10,0,67,1,6.7,67,60,v England,Leeds,22-Aug-08,ODI # 2748,Dale Steyn,47492
2234,6,1,37,0,6.16,-,-,v England,Nottingham,26-Aug-08,ODI # 2754,Dale Steyn,47492
2235,10,0,67,1,6.7,67,60,v England,The Oval,29-Aug-08,ODI # 2757,Dale Steyn,47492
2236,3,0,17,1,5.66,17,18,v England,Lord's,31-Aug-08,ODI # 2759,Dale Steyn,47492
2238,8,1,16,4,2,4,12,v Bangladesh,Potchefstroom,07-Nov-08,ODI # 2771,Dale Steyn,47492
2239,10,1,48,3,4.8,16,20,v Bangladesh,Benoni,09-Nov-08,ODI # 2772,Dale Steyn,47492
2240,10,2,49,1,4.9,49,60,v Australia,Melbourne,16-Jan-09,ODI # 2795,Dale Steyn,47492
2241,10,2,36,2,3.6,18,30,v Australia,Hobart,18-Jan-09,ODI # 2796,Dale Steyn,47492
2242,8.2,1,47,2,5.64,23.5,25,v Australia,Sydney,23-Jan-09,ODI # 2802,Dale Steyn,47492
2243,10,1,49,3,4.9,16.33,20,v Australia,Adelaide,26-Jan-09,ODI # 2804,Dale Steyn,47492
2244,9,0,45,2,5,22.5,27,v Australia,Durban,03-Apr-09,ODI # 2832,Dale Steyn,47492
2245,9.2,0,27,4,2.89,6.75,14,v Australia,Centurion,05-Apr-09,ODI # 2834,Dale Steyn,47492
2246,10,0,44,0,4.4,-,-,v Australia,Cape Town,09-Apr-09,ODI # 2839,Dale Steyn,47492
2247,7.5,1,44,4,5.61,11,11.7,v Australia,Port Elizabeth,13-Apr-09,ODI # 2840,Dale Steyn,47492
2248,10,0,73,0,7.3,-,-,v Australia,Johannesburg,17-Apr-09,ODI # 2841,Dale Steyn,47492
2249,9,2,47,3,5.22,15.66,18,v Sri Lanka,Centurion,22-Sep-09,ODI # 2893,Dale Steyn,47492
2250,9.5,1,32,2,3.25,16,29.5,v New Zealand,Centurion,24-Sep-09,ODI # 2895,Dale Steyn,47492
2251,10,0,59,1,5.9,59,60,v England,Centurion,27-Sep-09,ODI # 2900,Dale Steyn,47492
2252,10,0,51,2,5.1,25.5,30,v Zimbabwe,Benoni,08-Nov-09,ODI # 2926,Dale Steyn,47492
2253,10,0,64,0,6.4,-,-,v England,Centurion,22-Nov-09,ODI # 2929,Dale Steyn,47492
2254,6,0,42,0,7,-,-,v England,Cape Town,27-Nov-09,ODI # 2930,Dale Steyn,47492
2255,10,1,46,0,4.6,-,-,v India,Jaipur,21-Feb-10,ODI # 2961,Dale Steyn,47492
2256,10,0,89,0,8.9,-,-,v India,Gwalior,24-Feb-10,ODI # 2962,Dale Steyn,47492
2257,8,1,37,3,4.62,12.33,16,v India,Ahmedabad,27-Feb-10,ODI # 2963,Dale Steyn,47492
2258,8,0,37,2,4.62,18.5,24,v West Indies,North Sound,22-May-10,ODI # 2979,Dale Steyn,47492
2259,10,0,59,1,5.9,59,60,v West Indies,North Sound,24-May-10,ODI # 2980,Dale Steyn,47492
2260,7,1,19,1,2.71,19,42,v West Indies,Roseau,28-May-10,ODI # 2982,Dale Steyn,47492
2261,10,0,79,1,7.9,79,60,v Pakistan,Dubai (DSC),05-Nov-10,ODI # 3067,Dale Steyn,47492
2262,8,0,47,2,5.87,23.5,24,v Pakistan,Dubai (DSC),08-Nov-10,ODI # 3069,Dale Steyn,47492
2263,6,0,29,2,4.83,14.5,18,v India,Durban,12-Jan-11,ODI # 3079,Dale Steyn,47492
2264,9.2,1,35,2,3.75,17.5,28,v India,Johannesburg,15-Jan-11,ODI # 3080,Dale Steyn,47492
2265,10,1,31,2,3.1,15.5,30,v India,Cape Town,18-Jan-11,ODI # 3082,Dale Steyn,47492
2266,4,0,15,0,3.75,-,-,v India,Port Elizabeth,21-Jan-11,ODI # 3084,Dale Steyn,47492
2267,9,1,32,2,3.55,16,27,v India,Centurion,23-Jan-11,ODI # 3087,Dale Steyn,47492
2268,7.3,1,24,3,3.2,8,15,v West Indies,Delhi,24-Feb-11,ODI # 3106,Dale Steyn,47492
2269,6,1,26,1,4.33,26,36,v Netherlands,Mohali,03-Mar-11,ODI # 3115,Dale Steyn,47492
2270,9,0,37,1,4.11,37,54,v England,Chennai,06-Mar-11,ODI # 3120,Dale Steyn,47492
2271,9.4,0,50,5,5.17,10,11.6,v India,Nagpur,12-Mar-11,ODI # 3128,Dale Steyn,47492
2272,4,1,13,0,3.25,-,-,v Ireland,Kolkata,15-Mar-11,ODI # 3133,Dale Steyn,47492
2273,10,0,42,2,4.2,21,30,v New Zealand,Dhaka,25-Mar-11,ODI # 3144,Dale Steyn,47492
2274,6,0,48,2,8,24,18,v Australia,Centurion,19-Oct-11,ODI # 3203,Dale Steyn,47492
2275,10,0,57,2,5.7,28.5,30,v Australia,Port Elizabeth,23-Oct-11,ODI # 3208,Dale Steyn,47492
2276,10,0,44,1,4.4,44,60,v Australia,Durban,28-Oct-11,ODI # 3211,Dale Steyn,47492
2277,3,0,7,1,2.33,7,18,v Sri Lanka,Paarl,11-Jan-12,ODI # 3225,Dale Steyn,47492
2278,9,1,54,1,6,54,54,v Sri Lanka,East London,14-Jan-12,ODI # 3226,Dale Steyn,47492
2279,10,0,55,1,5.5,55,60,v Sri Lanka,Bloemfontein,17-Jan-12,ODI # 3227,Dale Steyn,47492
2280,9,0,37,1,4.11,37,54,v New Zealand,Wellington,25-Feb-12,ODI # 3249,Dale Steyn,47492
2281,10,1,37,1,3.7,37,60,v New Zealand,Napier,29-Feb-12,ODI # 3252,Dale Steyn,47492
2282,7,2,28,0,4,-,-,v New Zealand,Auckland,03-Mar-12,ODI # 3254,Dale Steyn,47492
2283,7,0,32,1,4.57,32,42,v England,The Oval,31-Aug-12,ODI # 3300,Dale Steyn,47492
2284,9.4,0,47,2,4.86,23.5,29,v England,Lord's,02-Sep-12,ODI # 3302,Dale Steyn,47492
2285,9,2,24,2,2.66,12,27,v England,Nottingham,05-Sep-12,ODI # 3304,Dale Steyn,47492
2286,10,3,33,0,3.3,-,-,v New Zealand,Paarl,19-Jan-13,ODI # 3323,Dale Steyn,47492
2287,10,1,56,0,5.6,-,-,v New Zealand,Potchefstroom,25-Jan-13,ODI # 3328,Dale Steyn,47492
2288,9,1,29,1,3.22,29,54,v Pakistan,Centurion,15-Mar-13,ODI # 3346,Dale Steyn,47492
2289,10,1,48,1,4.8,48,60,v Pakistan,Johannesburg,17-Mar-13,ODI # 3347,Dale Steyn,47492
2290,10,3,26,1,2.6,26,60,v Pakistan,Durban,21-Mar-13,ODI # 3348,Dale Steyn,47492
2291,10,0,33,1,3.3,33,60,v Pakistan,Benoni,24-Mar-13,ODI # 3350,Dale Steyn,47492
2292,6,0,33,2,5.5,16.5,18,v West Indies,Cardiff,14-Jun-13,ODI # 3371,Dale Steyn,47492
2293,8,0,31,1,3.87,31,48,v Pakistan,Abu Dhabi,06-Nov-13,ODI # 3430,Dale Steyn,47492
2294,10,1,25,5,2.5,5,12,v Pakistan,Abu Dhabi,08-Nov-13,ODI # 3431,Dale Steyn,47492
2295,10,2,33,3,3.3,11,20,v Pakistan,Cape Town,24-Nov-13,ODI # 3438,Dale Steyn,47492
2296,9,0,39,6,4.33,6.5,9,v Pakistan,Port Elizabeth,27-Nov-13,ODI # 3440,Dale Steyn,47492
2297,8,3,25,3,3.12,8.33,16,v India,Johannesburg,05-Dec-13,ODI # 3442,Dale Steyn,47492
2298,7,1,17,3,2.42,5.66,14,v India,Durban,08-Dec-13,ODI # 3443,Dale Steyn,47492
2299,7.3,0,38,2,5.06,19,22.5,v Sri Lanka,Colombo (RPS),06-Jul-14,ODI # 3500,Dale Steyn,47492
2300,2.2,0,19,0,8.14,-,-,v Sri Lanka,Pallekele,09-Jul-14,ODI # 3501,Dale Steyn,47492
2301,7,0,55,0,7.85,-,-,v Sri Lanka,Hambantota,12-Jul-14,ODI # 3502,Dale Steyn,47492
2302,10,0,54,1,5.4,54,60,v Australia,Harare,27-Aug-14,ODI # 3516,Dale Steyn,47492
2303,8.3,2,36,3,4.23,12,17,v Zimbabwe,Harare,29-Aug-14,ODI # 3518,Dale Steyn,47492
2304,9,0,64,1,7.11,64,54,v Australia,Harare,02-Sep-14,ODI # 3522,Dale Steyn,47492
2305,8,1,24,1,3,24,48,v Zimbabwe,Harare,04-Sep-14,ODI # 3524,Dale Steyn,47492
2306,10,1,34,4,3.4,8.5,15,v Australia,Harare,06-Sep-14,ODI # 3526,Dale Steyn,47492
2307,7.1,1,28,1,3.9,28,43,v New Zealand,Mount Maunganui,21-Oct-14,ODI # 3536,Dale Steyn,47492
2308,9,1,35,2,3.88,17.5,27,v New Zealand,Mount Maunganui,24-Oct-14,ODI # 3537,Dale Steyn,47492
2309,10,0,62,2,6.2,31,30,v Australia,Perth,14-Nov-14,ODI # 3545,Dale Steyn,47492
2310,7.4,1,35,3,4.56,11.66,15.3,v Australia,Perth,16-Nov-14,ODI # 3546,Dale Steyn,47492
2311,10,0,53,0,5.3,-,-,v Australia,Canberra,19-Nov-14,ODI # 3548,Dale Steyn,47492
2312,9,0,47,2,5.22,23.5,27,v Australia,Melbourne,21-Nov-14,ODI # 3549,Dale Steyn,47492
2313,5.2,1,27,3,5.06,9,10.6,v West Indies,Durban,16-Jan-15,ODI # 3579,Dale Steyn,47492
2314,10,0,29,1,2.9,29,60,v West Indies,Johannesburg,18-Jan-15,ODI # 3583,Dale Steyn,47492
2315,6,1,21,2,3.5,10.5,18,v West Indies,East London,21-Jan-15,ODI # 3587,Dale Steyn,47492
2316,9,0,64,1,7.11,64,54,v Zimbabwe,Hamilton,15-Feb-15,ODI # 3601,Dale Steyn,47492
2317,10,1,55,1,5.5,55,60,v India,Melbourne,22-Feb-15,ODI # 3610,Dale Steyn,47492
2318,7,0,24,1,3.42,24,42,v West Indies,Sydney,27-Feb-15,ODI # 3616,Dale Steyn,47492
2319,8,0,39,2,4.87,19.5,24,v Ireland,Canberra,03-Mar-15,ODI # 3621,Dale Steyn,47492
2320,10,3,30,3,3,10,20,v Pakistan,Auckland,07-Mar-15,ODI # 3626,Dale Steyn,47492
2321,9,1,40,1,4.44,40,54,v U.A.E.,Wellington,12-Mar-15,ODI # 3633,Dale Steyn,47492
2322,7,2,18,1,2.57,18,42,v Sri Lanka,Sydney,18-Mar-15,ODI # 3640,Dale Steyn,47492
2323,8.5,0,76,1,8.6,76,53,v New Zealand,Auckland,24-Mar-15,ODI # 3644,Dale Steyn,47492
2324,9,0,50,2,5.55,25,27,v New Zealand,Centurion,19-Aug-15,ODI # 3676,Dale Steyn,47492
2325,8,1,38,0,4.75,-,-,v New Zealand,Potchefstroom,23-Aug-15,ODI # 3677,Dale Steyn,47492
2326,10,0,41,1,4.1,41,60,v New Zealand,Durban,26-Aug-15,ODI # 3678,Dale Steyn,47492
2327,10,0,54,1,5.4,54,60,v India,Kanpur,11-Oct-15,ODI # 3689,Dale Steyn,47492
2328,10,0,49,3,4.9,16.33,20,v India,Indore,14-Oct-15,ODI # 3692,Dale Steyn,47492
2329,10,0,65,0,6.5,-,-,v India,Rajkot,18-Oct-15,ODI # 3695,Dale Steyn,47492
2330,10,0,61,3,6.1,20.33,20,v India,Chennai,22-Oct-15,ODI # 3698,Dale Steyn,47492
2331,7,0,38,3,5.42,12.66,14,v India,Mumbai,25-Oct-15,ODI # 3700,Dale Steyn,47492
2332,10,0,65,2,6.5,32.5,30,v Australia,Centurion,30-Sep-16,ODI # 3785,Dale Steyn,47492
2333,7,0,37,1,5.28,37,42,v Australia,Johannesburg,02-Oct-16,ODI # 3787,Dale Steyn,47492
2334,10,0,96,2,9.6,48,30,v Australia,Durban,05-Oct-16,ODI # 3790,Dale Steyn,47492
2335,9.2,0,56,0,6,-,-,v Australia,Cape Town,12-Oct-16,ODI # 3795,Dale Steyn,47492
2336,6,0,19,2,3.16,9.5,18,v Zimbabwe,Bloemfontein,03-Oct-18,ODI # 4050,Dale Steyn,47492
2337,9.3,1,29,3,3.05,9.66,19,v Zimbabwe,Paarl,06-Oct-18,ODI # 4051,Dale Steyn,47492
2338,7,1,18,2,2.57,9,21,v Australia,Perth,04-Nov-18,ODI # 4065,Dale Steyn,47492
2339,10,1,31,2,3.1,15.5,30,v Australia,Adelaide,09-Nov-18,ODI # 4067,Dale Steyn,47492
2340,10,0,45,3,4.5,15,20,v Australia,Hobart,11-Nov-18,ODI # 4069,Dale Steyn,47492
2341,10,0,43,2,4.3,21.5,30,v Pakistan,Centurion,25-Jan-19,ODI # 4084,Dale Steyn,47492
2342,5,0,26,0,5.2,-,-,v Pakistan,Johannesburg,27-Jan-19,ODI # 4087,Dale Steyn,47492
2343,8,0,51,1,6.37,51,48,v Pakistan,Cape Town,30-Jan-19,ODI # 4090,Dale Steyn,47492
2344,7,0,32,1,4.57,32,42,v Sri Lanka,Port Elizabeth,13-Mar-19,ODI # 4114,Dale Steyn,47492
2345,5,0,19,1,3.8,19,30,v Ireland,Benoni,25-Sep-16,ODI # 3780,Dwaine Pretorius,327830
2346,6,0,42,0,7,-,-,v Australia,Durban,05-Oct-16,ODI # 3790,Dwaine Pretorius,327830
2347,7,1,33,1,4.71,33,42,v Australia,Port Elizabeth,09-Oct-16,ODI # 3792,Dwaine Pretorius,327830
2348,7,2,19,3,2.71,6.33,14,v Sri Lanka,Johannesburg,04-Feb-17,ODI # 3831,Dwaine Pretorius,327830
2349,8,0,55,2,6.87,27.5,24,v Sri Lanka,Cape Town,07-Feb-17,ODI # 3833,Dwaine Pretorius,327830
2350,10,0,40,2,4,20,30,v New Zealand,Christchurch,22-Feb-17,ODI # 3839,Dwaine Pretorius,327830
2351,5.2,1,5,3,0.93,1.66,10.6,v New Zealand,Wellington,25-Feb-17,ODI # 3841,Dwaine Pretorius,327830
2352,8,0,55,0,6.87,-,-,v New Zealand,Hamilton,01-Mar-17,ODI # 3843,Dwaine Pretorius,327830
2353,8,0,36,0,4.5,-,-,v New Zealand,Auckland,04-Mar-17,ODI # 3846,Dwaine Pretorius,327830
2354,10,0,61,1,6.1,61,60,v England,Southampton,27-May-17,ODI # 3873,Dwaine Pretorius,327830
2355,10,0,48,2,4.8,24,30,v Bangladesh,Kimberley,15-Oct-17,ODI # 3923,Dwaine Pretorius,327830
2356,10,0,48,2,4.8,24,30,v Bangladesh,Paarl,18-Oct-17,ODI # 3925,Dwaine Pretorius,327830
2357,10,0,32,3,3.2,10.66,20,v Australia,Adelaide,09-Nov-18,ODI # 4067,Dwaine Pretorius,327830
2358,10,0,61,2,6.1,30.5,30,v Australia,Hobart,11-Nov-18,ODI # 4069,Dwaine Pretorius,327830
2359,10,0,42,0,4.2,-,-,v Pakistan,Port Elizabeth,19-Jan-19,ODI # 4080,Dwaine Pretorius,327830
2360,10,1,46,2,4.6,23,30,v Pakistan,Cape Town,30-Jan-19,ODI # 4090,Dwaine Pretorius,327830
2361,7,0,44,0,6.28,-,-,v Sri Lanka,Johannesburg,03-Mar-19,ODI # 4104,Dwaine Pretorius,327830
2362,2,0,6,0,3,-,-,v Sri Lanka,Durban,10-Mar-19,ODI # 4112,Dwaine Pretorius,327830
2363,4,0,27,0,6.75,-,-,v Sri Lanka,Cape Town,16-Mar-19,ODI # 4115,Dwaine Pretorius,327830
2364,4,0,22,0,5.5,-,-,v Ireland,Benoni,25-Sep-16,ODI # 3780,Andile Phehlukwayo,540316
2365,10,1,44,4,4.4,11,15,v Australia,Centurion,30-Sep-16,ODI # 3785,Andile Phehlukwayo,540316
2366,6.4,0,59,2,8.85,29.5,20,v Australia,Johannesburg,02-Oct-16,ODI # 3787,Andile Phehlukwayo,540316
2367,8,0,58,1,7.25,58,48,v Australia,Durban,05-Oct-16,ODI # 3790,Andile Phehlukwayo,540316
2368,5,1,28,0,5.6,-,-,v Australia,Port Elizabeth,09-Oct-16,ODI # 3792,Andile Phehlukwayo,540316
2369,9,1,51,1,5.66,51,54,v Australia,Cape Town,12-Oct-16,ODI # 3795,Andile Phehlukwayo,540316
2370,7,0,31,0,4.42,-,-,v Sri Lanka,Port Elizabeth,28-Jan-17,ODI # 3828,Andile Phehlukwayo,540316
2371,4,0,21,1,5.25,21,24,v Sri Lanka,Durban,01-Feb-17,ODI # 3830,Andile Phehlukwayo,540316
2372,5,0,26,2,5.2,13,15,v Sri Lanka,Johannesburg,04-Feb-17,ODI # 3831,Andile Phehlukwayo,540316
2373,7,1,44,0,6.28,-,-,v Sri Lanka,Centurion,10-Feb-17,ODI # 3834,Andile Phehlukwayo,540316
2374,5,0,28,0,5.6,-,-,v New Zealand,Hamilton,19-Feb-17,ODI # 3836,Andile Phehlukwayo,540316
2375,9,0,62,0,6.88,-,-,v New Zealand,Christchurch,22-Feb-17,ODI # 3839,Andile Phehlukwayo,540316
2376,5,0,12,2,2.4,6,15,v New Zealand,Wellington,25-Feb-17,ODI # 3841,Andile Phehlukwayo,540316
2377,7,1,35,2,5,17.5,21,v New Zealand,Auckland,04-Mar-17,ODI # 3846,Andile Phehlukwayo,540316
2378,9,0,59,2,6.55,29.5,27,v England,Leeds,24-May-17,ODI # 3872,Andile Phehlukwayo,540316
2379,10,1,74,1,7.4,74,60,v England,Southampton,27-May-17,ODI # 3873,Andile Phehlukwayo,540316
2380,5,0,25,0,5,-,-,v India,The Oval,11-Jun-17,ODI # 3886,Andile Phehlukwayo,540316
2381,10,0,60,0,6,-,-,v Bangladesh,Kimberley,15-Oct-17,ODI # 3923,Andile Phehlukwayo,540316
2382,10,1,40,4,4,10,15,v Bangladesh,Paarl,18-Oct-17,ODI # 3925,Andile Phehlukwayo,540316
2383,4,1,13,1,3.25,13,24,v Bangladesh,East London,22-Oct-17,ODI # 3929,Andile Phehlukwayo,540316
2384,8,0,42,2,5.25,21,24,v India,Durban,01-Feb-18,ODI # 3969,Andile Phehlukwayo,540316
2385,6,0,42,1,7,42,36,v India,Cape Town,07-Feb-18,ODI # 3971,Andile Phehlukwayo,540316
2386,6,0,38,0,6.33,-,-,v India,Johannesburg,10-Feb-18,ODI # 3973,Andile Phehlukwayo,540316
2387,8,0,34,0,4.25,-,-,v India,Port Elizabeth,13-Feb-18,ODI # 3976,Andile Phehlukwayo,540316
2388,4,0,27,0,6.75,-,-,v India,Centurion,16-Feb-18,ODI # 3978,Andile Phehlukwayo,540316
2389,3,0,30,0,10,-,-,v Sri Lanka,Dambulla,29-Jul-18,ODI # 4025,Andile Phehlukwayo,540316
2390,9,0,45,3,5,15,18,v Sri Lanka,Dambulla,01-Aug-18,ODI # 4027,Andile Phehlukwayo,540316
2391,9,0,74,3,8.22,24.66,18,v Sri Lanka,Pallekele,05-Aug-18,ODI # 4029,Andile Phehlukwayo,540316
2392,6,0,45,1,7.5,45,36,v Sri Lanka,Pallekele,08-Aug-18,ODI # 4030,Andile Phehlukwayo,540316
2393,8,0,60,2,7.5,30,24,v Sri Lanka,Colombo (RPS),12-Aug-18,ODI # 4031,Andile Phehlukwayo,540316
2394,7,2,22,2,3.14,11,21,v Zimbabwe,Kimberley,30-Sep-18,ODI # 4049,Andile Phehlukwayo,540316
2395,5,1,7,1,1.4,7,30,v Zimbabwe,Bloemfontein,03-Oct-18,ODI # 4050,Andile Phehlukwayo,540316
2396,6,0,34,2,5.66,17,18,v Zimbabwe,Paarl,06-Oct-18,ODI # 4051,Andile Phehlukwayo,540316
2397,6,0,33,3,5.5,11,12,v Australia,Perth,04-Nov-18,ODI # 4065,Andile Phehlukwayo,540316
2398,7,0,43,1,6.14,43,42,v Pakistan,Port Elizabeth,19-Jan-19,ODI # 4080,Andile Phehlukwayo,540316
2399,9.5,2,22,4,2.23,5.5,14.7,v Pakistan,Durban,22-Jan-19,ODI # 4081,Andile Phehlukwayo,540316
2400,10,0,71,0,7.1,-,-,v Pakistan,Centurion,25-Jan-19,ODI # 4084,Andile Phehlukwayo,540316
2401,2.3,0,17,1,6.8,17,15,v Pakistan,Johannesburg,27-Jan-19,ODI # 4087,Andile Phehlukwayo,540316
2402,9,0,42,2,4.66,21,27,v Pakistan,Cape Town,30-Jan-19,ODI # 4090,Andile Phehlukwayo,540316
2404,2,0,19,0,9.5,-,-,v Sri Lanka,Durban,10-Mar-19,ODI # 4112,Andile Phehlukwayo,540316
2405,5.2,0,21,2,3.93,10.5,16,v Sri Lanka,Port Elizabeth,13-Mar-19,ODI # 4114,Andile Phehlukwayo,540316
2406,8,0,40,1,5,40,48,v Sri Lanka,Cape Town,16-Mar-19,ODI # 4115,Andile Phehlukwayo,540316
2409,7,0,28,1,4,28,42,v Sri Lanka,Dambulla,25-Aug-04,ODI # 2160,JP Duminy,44932
2410,5,0,24,0,4.8,-,-,v Sri Lanka,Dambulla,28-Aug-04,ODI # 2161,JP Duminy,44932
2411,2,0,10,0,5,-,-,v Sri Lanka,Colombo (SSC),31-Aug-04,ODI # 2163,JP Duminy,44932
2414,6,1,35,0,5.83,-,-,v Zimbabwe,Potchefstroom,20-Sep-06,ODI # 2420,JP Duminy,44932
2415,2,0,8,1,4,8,12,v Ireland,Belfast,24-Jun-07,ODI # 2591,JP Duminy,44932
2420,2,0,19,0,9.5,-,-,v Zimbabwe,Harare,25-Aug-07,ODI # 2614,JP Duminy,44932
2423,1,0,6,1,6,6,6,v Pakistan,Lahore,29-Oct-07,ODI # 2642,JP Duminy,44932
2424,2,0,16,0,8,-,-,v New Zealand,Durban,25-Nov-07,ODI # 2648,JP Duminy,44932
2431,6,0,30,0,5,-,-,v West Indies,Johannesburg,03-Feb-08,ODI # 2671,JP Duminy,44932
2432,1,0,13,0,13,-,-,v Bangladesh,Chattogram,09-Mar-08,ODI # 2690,JP Duminy,44932
2433,3,0,11,0,3.66,-,-,v Bangladesh,Dhaka,12-Mar-08,ODI # 2691,JP Duminy,44932
2440,8.1,0,31,3,3.79,10.33,16.3,v Kenya,Bloemfontein,31-Oct-08,ODI # 2769,JP Duminy,44932
2441,6,1,22,0,3.66,-,-,v Kenya,Kimberley,02-Nov-08,ODI # 2770,JP Duminy,44932
2443,3,0,8,0,2.66,-,-,v Bangladesh,Benoni,09-Nov-08,ODI # 2772,JP Duminy,44932
2444,1,0,6,0,6,-,-,v Australia,Melbourne,16-Jan-09,ODI # 2795,JP Duminy,44932
2445,6,0,23,1,3.83,23,36,v Australia,Hobart,18-Jan-09,ODI # 2796,JP Duminy,44932
2446,10,0,52,1,5.2,52,60,v Australia,Sydney,23-Jan-09,ODI # 2802,JP Duminy,44932
2447,3,0,15,0,5,-,-,v Australia,Adelaide,26-Jan-09,ODI # 2804,JP Duminy,44932
2448,4,0,21,1,5.25,21,24,v Australia,Perth,30-Jan-09,ODI # 2808,JP Duminy,44932
2449,4,0,22,0,5.5,-,-,v Australia,Durban,03-Apr-09,ODI # 2832,JP Duminy,44932
2451,2,0,6,1,3,6,12,v Australia,Cape Town,09-Apr-09,ODI # 2839,JP Duminy,44932
2453,10,0,48,3,4.8,16,20,v Australia,Johannesburg,17-Apr-09,ODI # 2841,JP Duminy,44932
2454,1,0,11,1,11,11,6,v Sri Lanka,Centurion,22-Sep-09,ODI # 2893,JP Duminy,44932
2456,3,0,17,0,5.66,-,-,v England,Centurion,27-Sep-09,ODI # 2900,JP Duminy,44932
2458,4,0,17,0,4.25,-,-,v England,Centurion,22-Nov-09,ODI # 2929,JP Duminy,44932
2459,6,0,25,2,4.16,12.5,18,v England,Cape Town,27-Nov-09,ODI # 2930,JP Duminy,44932
2461,5,0,38,0,7.6,-,-,v India,Gwalior,24-Feb-10,ODI # 2962,JP Duminy,44932
2463,1,0,9,0,9,-,-,v West Indies,Roseau,30-May-10,ODI # 2984,JP Duminy,44932
2464,2,0,10,0,5,-,-,v West Indies,Port of Spain,03-Jun-10,ODI # 2987,JP Duminy,44932
2466,4,0,22,1,5.5,22,24,v Zimbabwe,Potchefstroom,17-Oct-10,ODI # 3059,JP Duminy,44932
2468,5,0,31,0,6.2,-,-,v Pakistan,Abu Dhabi,29-Oct-10,ODI # 3062,JP Duminy,44932
2470,5,0,17,0,3.4,-,-,v Pakistan,Dubai (DSC),02-Nov-10,ODI # 3064,JP Duminy,44932
2471,2,0,9,0,4.5,-,-,v Pakistan,Dubai (DSC),05-Nov-10,ODI # 3067,JP Duminy,44932
2473,2,0,7,0,3.5,-,-,v India,Durban,12-Jan-11,ODI # 3079,JP Duminy,44932
2474,3,0,19,0,6.33,-,-,v India,Johannesburg,15-Jan-11,ODI # 3080,JP Duminy,44932
2475,2,0,9,1,4.5,9,12,v India,Cape Town,18-Jan-11,ODI # 3082,JP Duminy,44932
2476,1,0,9,0,9,-,-,v India,Port Elizabeth,21-Jan-11,ODI # 3084,JP Duminy,44932
2479,6,0,16,1,2.66,16,36,v Netherlands,Mohali,03-Mar-11,ODI # 3115,JP Duminy,44932
2480,4,0,20,0,5,-,-,v England,Chennai,06-Mar-11,ODI # 3120,JP Duminy,44932
2481,3,0,29,0,9.66,-,-,v India,Nagpur,12-Mar-11,ODI # 3128,JP Duminy,44932
2482,2,0,11,1,5.5,11,12,v Ireland,Kolkata,15-Mar-11,ODI # 3133,JP Duminy,44932
2484,2,0,9,0,4.5,-,-,v New Zealand,Dhaka,25-Mar-11,ODI # 3144,JP Duminy,44932
2486,5,0,19,0,3.8,-,-,v Australia,Port Elizabeth,23-Oct-11,ODI # 3208,JP Duminy,44932
2487,7,1,29,2,4.14,14.5,21,v Australia,Durban,28-Oct-11,ODI # 3211,JP Duminy,44932
2489,6,0,26,0,4.33,-,-,v Sri Lanka,East London,14-Jan-12,ODI # 3226,JP Duminy,44932
2490,5,0,26,1,5.2,26,30,v Sri Lanka,Bloemfontein,17-Jan-12,ODI # 3227,JP Duminy,44932
2491,4.4,0,37,0,7.92,-,-,v Sri Lanka,Kimberley,20-Jan-12,ODI # 3228,JP Duminy,44932
2492,6.5,0,44,2,6.43,22,20.5,v Sri Lanka,Johannesburg,22-Jan-12,ODI # 3229,JP Duminy,44932
2493,5,0,22,0,4.4,-,-,v New Zealand,Wellington,25-Feb-12,ODI # 3249,JP Duminy,44932
2494,1,0,2,0,2,-,-,v New Zealand,Napier,29-Feb-12,ODI # 3252,JP Duminy,44932
2495,1,0,11,0,11,-,-,v New Zealand,Auckland,03-Mar-12,ODI # 3254,JP Duminy,44932
2497,3,0,16,1,5.33,16,18,v England,Southampton,28-Aug-12,ODI # 3298,JP Duminy,44932
2500,4,0,11,1,2.75,11,24,v England,Nottingham,05-Sep-12,ODI # 3304,JP Duminy,44932
