,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Match_ID,Bowler,Player_ID
734,8,0,34,1,4.25,34,48,v India,Vadodara,31-Jan-07,ODI # 2493,Chris Gayle ,51880
736,10,1,32,0,3.2,-,-,v Zimbabwe,Kingston,19-Mar-07,ODI # 2543,Chris Gayle ,51880
737,10,0,23,2,2.3,11.5,30,v Ireland,Kingston,23-Mar-07,ODI # 2551,Chris Gayle ,51880
738,4,0,29,0,7.25,-,-,v Australia,North Sound,27-Mar-07,ODI # 2555,Chris Gayle ,51880
739,6.2,0,35,0,5.52,-,-,v New Zealand,North Sound,29-Mar-07,ODI # 2557,Chris Gayle ,51880
740,9,0,60,0,6.66,-,-,v Sri Lanka,Providence,01-Apr-07,ODI # 2560,Chris Gayle ,51880
741,6,0,42,1,7,42,36,v South Africa,St George's,10-Apr-07,ODI # 2567,Chris Gayle ,51880
742,8.5,0,28,2,3.16,14,26.5,v Bangladesh,Bridgetown,19-Apr-07,ODI # 2576,Chris Gayle ,51880
743,5,0,32,0,6.4,-,-,v England,Bridgetown,21-Apr-07,ODI # 2578,Chris Gayle ,51880
746,2,0,11,0,5.5,-,-,v England,Nottingham,07-Jul-07,ODI # 2598,Chris Gayle ,51880
748,2,0,13,1,6.5,13,12,v Scotland,Dublin,12-Jul-07,ODI # 2601,Chris Gayle ,51880
750,6,0,35,2,5.83,17.5,18,v Zimbabwe,Harare,30-Nov-07,ODI # 2649,Chris Gayle ,51880
752,1,0,6,0,6,-,-,v Sri Lanka,Port of Spain,10-Apr-08,ODI # 2697,Chris Gayle ,51880
753,1.3,0,6,2,4,3,4.5,v Sri Lanka,Port of Spain,12-Apr-08,ODI # 2699,Chris Gayle ,51880
754,10,0,41,2,4.1,20.5,30,v Sri Lanka,Gros Islet,15-Apr-08,ODI # 2701,Chris Gayle ,51880
755,10,0,55,1,5.5,55,60,v Australia,Kingstown,24-Jun-08,ODI # 2713,Chris Gayle ,51880
756,3,0,16,0,5.33,-,-,v Australia,St George's,27-Jun-08,ODI # 2719,Chris Gayle ,51880
757,5,0,26,1,5.2,26,30,v Australia,St George's,29-Jun-08,ODI # 2724,Chris Gayle ,51880
758,6,1,25,1,4.16,25,36,v Australia,Basseterre,04-Jul-08,ODI # 2734,Chris Gayle ,51880
759,2,0,33,0,16.5,-,-,v Australia,Basseterre,06-Jul-08,ODI # 2736,Chris Gayle ,51880
760,2,0,13,0,6.5,-,-,v Canada,King City (NW),22-Aug-08,ODI # 2749,Chris Gayle ,51880
762,6,0,33,0,5.5,-,-,v Pakistan,Abu Dhabi,12-Nov-08,ODI # 2773,Chris Gayle ,51880
763,10,0,44,0,4.4,-,-,v Pakistan,Abu Dhabi,14-Nov-08,ODI # 2775,Chris Gayle ,51880
764,10,0,50,1,5,50,60,v Pakistan,Abu Dhabi,16-Nov-08,ODI # 2776,Chris Gayle ,51880
766,3,0,28,1,9.33,28,18,v New Zealand,Christchurch,03-Jan-09,ODI # 2787,Chris Gayle ,51880
767,0.3,0,11,0,22,-,-,v New Zealand,Wellington,07-Jan-09,ODI # 2788,Chris Gayle ,51880
768,4,0,29,0,7.25,-,-,v New Zealand,Auckland,10-Jan-09,ODI # 2789,Chris Gayle ,51880
770,3,0,14,0,4.66,-,-,v England,Providence,20-Mar-09,ODI # 2826,Chris Gayle ,51880
771,1,0,5,0,5,-,-,v England,Providence,22-Mar-09,ODI # 2827,Chris Gayle ,51880
774,1,0,3,0,3,-,-,v England,Gros Islet,03-Apr-09,ODI # 2833,Chris Gayle ,51880
776,5,0,31,0,6.2,-,-,v England,Birmingham,26-May-09,ODI # 2851,Chris Gayle ,51880
777,3,0,28,0,9.33,-,-,v India,Kingston,26-Jun-09,ODI # 2852,Chris Gayle ,51880
778,3,0,13,0,4.33,-,-,v India,Kingston,28-Jun-09,ODI # 2853,Chris Gayle ,51880
779,2,0,11,0,5.5,-,-,v India,Gros Islet,03-Jul-09,ODI # 2854,Chris Gayle ,51880
781,6,0,32,1,5.33,32,36,v Australia,Melbourne,07-Feb-10,ODI # 2950,Chris Gayle ,51880
783,1,0,7,0,7,-,-,v Australia,Sydney,12-Feb-10,ODI # 2954,Chris Gayle ,51880
784,1,0,9,0,9,-,-,v Australia,Brisbane,14-Feb-10,ODI # 2955,Chris Gayle ,51880
785,3,0,17,0,5.66,-,-,v Australia,Melbourne,19-Feb-10,ODI # 2960,Chris Gayle ,51880
787,10,0,25,1,2.5,25,60,v Zimbabwe,Providence,06-Mar-10,ODI # 2970,Chris Gayle ,51880
791,5,0,27,0,5.4,-,-,v South Africa,North Sound,22-May-10,ODI # 2979,Chris Gayle ,51880
